id,scope,paper,phase,category,summary,impact,resolution,evidence,source_anchor
ai_scientist_v2_paper_failure_1,paper,AI Scientist-v2,source paper,quality_threshold,"The acceptance was workshop-level rather than main-conference-level, and only one of three AI-generated submissions was accepted.",Defines a limitation or failure branch that generated skills should preserve.,Preserve in generated skill failure cases and source maps; do not convert into a success claim.,generated_skills/ai_scientist_v2/references/source_map.json,lines 694-704
ai_scientist_v2_paper_failure_2,paper,AI Scientist-v2,source paper,quality_threshold,The system does not consistently reach workshop-level quality and is not yet at top-tier conference standards.,Defines a limitation or failure branch that generated skills should preserve.,Preserve in generated skill failure cases and source maps; do not convert into a success claim.,generated_skills/ai_scientist_v2/references/source_map.json,lines 696-704
ai_scientist_v2_paper_failure_3,paper,AI Scientist-v2,source paper,quality_limit,"The paper identifies remaining challenges in producing genuinely novel, high-impact hypotheses, designing innovative experiments, and rigorously justifying choices with deep domain expertise.",Defines a limitation or failure branch that generated skills should preserve.,Preserve in generated skill failure cases and source maps; do not convert into a success claim.,generated_skills/ai_scientist_v2/references/source_map.json,lines 704-708
ai_scientist_v2_paper_failure_4,paper,AI Scientist-v2,source paper,quality_limit,The authors observed citation inaccuracies and insufficient methodological rigor in generated manuscripts.,Defines a limitation or failure branch that generated skills should preserve.,Preserve in generated skill failure cases and source maps; do not convert into a success claim.,generated_skills/ai_scientist_v2/references/source_map.json,lines 448-452
ai_scientist_v2_paper_failure_5,paper,AI Scientist-v2,source paper,ethics,"Ethical handling required IRB approval, reviewer disclosure, organizer coordination, and withdrawal of the accepted AI-generated paper before publication.",Defines a limitation or failure branch that generated skills should preserve.,Preserve in generated skill failure cases and source maps; do not convert into a success claim.,generated_skills/ai_scientist_v2/references/source_map.json,"lines 457-466, 714-721"
reflexion_paper_failure_1,paper,Reflexion,source paper,search_failure,Reflexion can still get stuck in local minima and has no formal guarantee of success.,Defines a limitation or failure branch that generated skills should preserve.,Preserve in generated skill failure cases and source maps; do not convert into a success claim.,generated_skills/reflexion/references/source_map.json,"lines 76-83, 527-533"
reflexion_paper_failure_2,paper,Reflexion,source paper,memory_limit,"The memory component is limited to a sliding window in the paper, and the authors suggest more advanced structures for future work.",Defines a limitation or failure branch that generated skills should preserve.,Preserve in generated skill failure cases and source maps; do not convert into a success claim.,generated_skills/reflexion/references/source_map.json,lines 527-533
reflexion_paper_failure_3,paper,Reflexion,source paper,paper_limitation,"Some environments and tasks remain difficult, especially where very creative behavior or richer interaction is required.",Defines a limitation or failure branch that generated skills should preserve.,Preserve in generated skill failure cases and source maps; do not convert into a success claim.,generated_skills/reflexion/references/source_map.json,lines 741-776
aide_paper_failure_1,paper,AIDE,source paper,evaluation_validity,"Kaggle holdout sets may differ from official private test sets, so percentile scores may not always be directly comparable.",Defines a limitation or failure branch that generated skills should preserve.,Preserve in generated skill failure cases and source maps; do not convert into a success claim.,generated_skills/aide/references/source_map.json,lines 396-398
aide_paper_failure_2,paper,AIDE,source paper,evaluation_validity,There is possible data contamination because models may have seen competition-related data; the paper says live competition submissions are the only way to fully ensure no contamination.,Defines a limitation or failure branch that generated skills should preserve.,Preserve in generated skill failure cases and source maps; do not convert into a success claim.,generated_skills/aide/references/source_map.json,lines 398-402
aide_paper_failure_3,paper,AIDE,source paper,search_failure,AIDE can adopt a simple greedy policy that may lead to local optima on challenging R&D tasks.,Defines a limitation or failure branch that generated skills should preserve.,Preserve in generated skill failure cases and source maps; do not convert into a success claim.,generated_skills/aide/references/source_map.json,lines 488-491
aide_paper_failure_4,paper,AIDE,source paper,paper_limitation,AIDE fell short in environments requiring larger codebases or single improvements with multiple steps of interaction; in Rust CodeContests it repeated local patches instead of discovering new strategies.,Defines a limitation or failure branch that generated skills should preserve.,Preserve in generated skill failure cases and source maps; do not convert into a success claim.,generated_skills/aide/references/source_map.json,lines 494-501
aide_paper_failure_5,paper,AIDE,source paper,paper_limitation,"While AIDE was developed for tabular machine-learning tasks, third-party experiments suggest the approach can generalize to neural architecture search, Triton Kernel optimization, and other AI R&D tasks.",Defines a limitation or failure branch that generated skills should preserve.,Preserve in generated skill failure cases and source maps; do not convert into a success claim.,generated_skills/aide/references/source_map.json,lines 537-545
aide_paper_failure_6,paper,AIDE,source paper,cost,"LLM inference cost can reach approximately 2.50 USD for some tasks, although most Weco-Kaggle tasks stay under 1.50 USD in the reported GPT-4 Turbo pricing setup.",Defines a limitation or failure branch that generated skills should preserve.,Preserve in generated skill failure cases and source maps; do not convert into a success claim.,generated_skills/aide/references/source_map.json,lines 744-752
extractor_multiline_title_bug,project,PaperToSkill,Phase 1,extractor_bug,Initial extraction split multiline Markdown list items and inferred the title incorrectly as `Methods`.,Could fragment workflow steps and mislabel generated skills.,Merged continuation lines and inferred title from the first H1 or LaTeX title.,research/stage_log.md#Phase-1,n/a
source_audit_section_mapping_bug,project,PaperToSkill,Phase 4,evaluator_bug,The first source-map-aware audit mis-mapped section groups and incorrectly yielded unsupported rate 1.0 for all skills.,Would erase the distinction between source-backed skills and abstract-only seeds.,Mapped skill sections onto source-note section groups before scoring.,research/stage_log.md#Phase-4,n/a
source_span_form_feed_shift,project,PaperToSkill,Phase 6,source_span_bug,PDF form-feed characters shifted source-span anchors when Python `splitlines()` was used.,Could mark valid line anchors invalid or point reviewers to the wrong spans.,Switched source-span counting to newline-delimited lines.,research/stage_log.md#Phase-6,n/a
aide_candidate_truncation,project,PaperToSkill,Phase 10,extraction_recall_bug,"AIDE exposed that workflow, validation, and failure candidate limits were too low and dropped data-preview plus LLM-cost content.",Important operational and economic limitations could be omitted from generated skills.,Raised candidate limits from 6/5/5 to 8/7/6 and added a regression test.,research/stage_log.md#Phase-10,n/a
remote_endpoint_unavailable,project,PaperToSkill,"Phases 0, 6, 10, 13",external_dependency,The OpenAI-compatible endpoint listed models but chat completions repeatedly returned account-pool or HTTP 503 errors.,Live cross-harness transfer runs are prepared but cannot be executed yet.,Recorded prompt packets and kept live claims downgraded to offline readiness until provider availability recovers.,memory/short_term_memory.md; research/run_logs/2026-06-17_phase13_human_fidelity_readiness.md,n/a
human_fidelity_pending,project,PaperToSkill,Phases 13-14,missing_evidence,"Human-fidelity review packets and annotation summary are prepared, but all 18 score rows remain pending.",The paper cannot claim expert-validated semantic fidelity.,"Prepared packets, blank annotation template, and summarizer; kept human-validation claims out of the draft.",results/human_fidelity_packets/annotation_summary.md,n/a
